 Huron                     SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp       no3_rchg       no3_loss        no3_lat       no3_seep        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N        kg/ha_N             mm             mm             mm
    90     3    31  2018      24     240  aqu240                    0.000          3.336        333.175          0.302          0.015          0.778          0.226          0.000          0.500          0.000          0.176          0.163          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      25     250  aqu250                    0.000          3.286        335.668          0.875          0.044          0.845          0.683          0.000          0.500          0.000          0.482          0.493          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      26     260  aqu260                    0.000          3.223        338.839          1.512          0.076          0.871          0.875          0.000          0.500          0.000          0.642          0.632          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      27     270  aqu270                    0.000          3.239        338.004          1.128          0.056          0.845          0.875          0.000          0.500          0.000          0.588          0.631          0.000          0.000          0.000          0.000          0.000
    90     3    31  2018      28       2  aqu_deep002               0.000         19.992       2400.229          0.035          0.000          0.000          0.000          0.000          0.500          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       1      10  aqu010                    0.188          3.026        348.618          6.052          0.303          1.747          1.373          0.000          0.500          0.000          2.063          0.959          0.001          0.001          0.188          0.000          0.000
   120     4    30  2018       2      20  aqu020                    0.000          3.212        339.342          3.061          0.153          1.747          1.155          0.000          0.500          0.000          1.892          0.807          0.000          0.001          0.000          0.000          0.000
   120     4    30  2018       3      30  aqu030                    0.000          3.343        332.789          1.752          0.088          1.525          0.617          0.000          0.500          0.000          1.084          0.431          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       4      40  aqu040                    0.000          3.267        336.585          1.491          0.075          1.747          1.025          0.000          0.500          0.000          1.552          0.716          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       5      50  aqu050                    0.000          3.305        334.689          2.589          0.129          1.747          0.809          0.000          0.500          0.000          1.748          0.565          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       6      60  aqu060                    0.000          3.350        332.439          0.471          0.024          1.591          0.563          0.000          0.500          0.000          1.079          0.393          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       7      70  aqu070                    0.000          3.326        333.671          1.242          0.062          1.410          0.380          0.000          0.500          0.000          0.575          0.266          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       8      80  aqu080                    0.000          3.315        334.213          1.836          0.092          1.553          0.990          0.000          0.500          0.000          1.838          0.692          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018       9      90  aqu090                    0.000          3.295        335.207          2.283          0.114          1.591          1.253          0.000          0.500          0.000          2.055          0.876          0.000          0.000          0.000          0.000          0.000
   120     4    30  2018      10     100  aqu100                    0.000          3.319        334.009          1.790          0.089          1.707          0.870          0.000          0.500          0.000          1.429          0.608          0.000          0.000          0.000          0.000          0.000
